datetaime,price,market_caps,total_volumes
2024-09-17 14:22:34,5.56,14088754337.936775,337610806.7811759
2024-09-17 15:16:12,5.56,14067495025.544104,340319914.62028384
2024-09-17 16:18:22,5.56,14080856909.253965,353267740.10591143
2024-09-17 17:08:31,5.5,13949411219.25564,343400593.23156136
2024-09-17 18:08:04,5.525,13993177046.329632,332810760.63075554
2024-09-17 19:10:23,5.49,13910494794.108616,338250155.57982403
2024-09-17 20:15:53,5.516,13950120833.72064,346736306.42176485
2024-09-17 21:09:08,5.521,13966331208.078295,349397264.0710982
2024-09-17 22:27:46,5.509,13953489865.834414,349773169.68693584
2024-09-17 23:27:20,5.499,13938639618.331861,349021538.54050875
2024-09-18 00:06:03,5.525,13987474962.290703,348724313.00366926
2024-09-18 01:20:50,5.489,13949534327.638983,346051546.1889571
2024-09-18 02:27:20,5.508,13940197879.114988,344975493.5454613
2024-09-18 03:00:48,5.535,14018700708.818449,345669245.72519827
2024-09-18 04:11:17,5.512,13964399582.112347,343532014.02841365
2024-09-18 05:13:49,5.478,13879576177.4953,346346962.07302356
2024-09-18 06:14:12,5.513,13942865953.336803,340474696.0115488
2024-09-18 07:27:24,5.524,13990843074.570366,341573033.69122535
2024-09-18 08:12:33,5.522,13982409622.131088,334023598.8771176
2024-09-18 09:24:17,5.515,13945565176.852238,319917671.878646
2024-09-18 10:14:22,5.484,13891239101.146221,318523668.01146984
2024-09-18 11:28:32,5.553,14069960802.89965,308183301.21002716
2024-09-18 12:00:24,5.538,14025685064.697872,310727507.749962
2024-09-18 13:13:15,5.524,14030303403.028076,308313604.6108689
2024-09-18 14:17:08,5.515,13968303033.12846,299271117.51557636
2024-09-18 15:01:21,5.523,13996110064.525682,290926923.6730611
2024-09-18 16:05:59,5.439,13808382417.613482,270977220.6226215
2024-09-18 17:14:00,5.502,13964750520.823713,270658155.24499965
2024-09-18 18:13:34,5.479,13887533192.107944,292814724.6844452
2024-09-18 19:22:29,5.526,14016453035.01331,318682156.76376826
2024-09-18 20:32:41,5.56,14082400022.788124,329309891.9991947
2024-09-18 21:27:00,5.636,14214280430.492386,338532451.6271809
2024-09-18 22:30:12,5.625,14253033373.02067,341308340.18811566
2024-09-18 23:18:06,5.619,14262750103.814852,340270864.0431289
2024-09-19 00:24:25,5.66,14317686332.749887,354882148.92642426
2024-09-19 01:18:07,5.635,14265567705.233162,378420008.5251674
2024-09-19 02:09:29,5.633,14269591865.06447,387442793.43167496
2024-09-19 03:04:38,5.674,14366067223.959301,392313254.13199157
2024-09-19 04:19:52,5.708,14454168101.59287,407033548.1258899
2024-09-19 05:06:57,5.729,14504076089.832682,404893384.7626161
2024-09-19 06:18:57,5.737,14520472146.404991,423505864.23316294
2024-09-19 07:16:50,5.779,14633004094.772478,441583177.16478646
2024-09-19 08:18:36,5.747,14585226925.220335,446064050.5819159
2024-09-19 09:20:44,5.725,14482529445.362564,452443851.3986254
2024-09-19 10:08:44,5.731,14510337339.45417,451333702.149604
2024-09-19 11:11:03,5.74,14530969947.614105,446940260.8474609
2024-09-19 12:06:07,5.798,14672442430.117445,450815153.58802754
2024-09-19 13:10:32,5.771,14613937572.370253,453452400.08746916
2024-09-19 14:17:45,5.731,14525825472.756475,456512948.61408806
2024-09-19 15:28:36,5.745,14548776043.014061,448105174.97945434
2024-09-19 16:05:34,5.744,14552305189.8016,441468915.464651
2024-09-19 17:30:56,5.759,14588835834.160547,452001978.6511502
2024-09-19 18:28:17,5.762,14586009916.146645,419572629.7334273
2024-09-19 19:21:52,5.731,14514889578.919231,398363898.98158914
2024-09-19 20:27:40,5.728,14495095396.725658,386842550.3518654
2024-09-19 21:17:51,5.716,14455184328.64529,380125781.2844693
2024-09-19 22:16:58,5.696,14428634143.026934,385757089.54001623
2024-09-19 23:27:55,5.686,14399099177.372772,378246261.29003614
2024-09-20 00:26:13,5.664,14345705030.76827,362630498.05099875
2024-09-20 01:08:33,5.621,14241289056.067373,346842518.58120024
2024-09-20 02:09:05,5.648,14289933180.972994,340175810.43091995
2024-09-20 03:12:01,5.69,14403274330.340504,345727702.2458223
2024-09-20 04:10:27,5.776,14633894001.657227,355509368.5066127
2024-09-20 05:14:26,5.79,14674678113.842842,358299653.50383264
2024-09-20 06:07:28,5.758,14594677694.456123,349946185.6800588
2024-09-20 07:06:05,5.79,14667790227.15748,341261076.65588385
2024-09-20 08:06:35,5.758,14586121660.55001,341487777.93940866
2024-09-20 09:06:20,5.737,14502207040.411503,342400298.7629108
2024-09-20 10:11:37,5.752,14568049800.214323,347248129.45288557
2024-09-20 11:03:35,5.766,14585188896.371359,349031036.2671423
2024-09-20 12:23:11,5.691,14409339606.391806,344173054.31396735
2024-09-20 13:19:21,5.633,14295999936.356075,351359187.7517871
2024-09-20 14:31:53,5.649,14321238135.693256,354846870.86270374
2024-09-20 15:34:45,5.606,14209306892.240698,346485072.8378646
2024-09-20 16:32:37,5.584,14147262109.693403,362279246.1698534
2024-09-20 17:14:45,5.568,14100091774.233427,360366723.35647595
2024-09-20 18:11:27,5.59,14184228127.4606,368513090.46819836
